code,name,url
Musikkterapi i helsesektoren I,MUTP305,https://www.uib.no/emne/MUTP305
Nordisk: Litteratur etter 1900,NOLI102,https://www.uib.no/emne/NOLI102
"Kurs i norsk språk og kultur for framanddspråklege studentar, trinn 1+2",NOR-U1/2,https://www.uib.no/emne/NOR-U1/2
Menneskets fysiologi,OD1FYS,https://www.uib.no/emne/OD1FYS
Masteroppgåve i pedagogikk,PED395,https://www.uib.no/emne/PED395
Psykologisk behandling,PROPSY311B,https://www.uib.no/emne/PROPSY311B
Akustiske transdusere,PHYS272,https://www.uib.no/emne/PHYS272
Psykologisk kartlegging,PROPSY311A,https://www.uib.no/emne/PROPSY311A
Organisasjonspsykologi,PSYK603,https://www.uib.no/emne/PSYK603
Religionar i antikken,RELV222,https://www.uib.no/emne/RELV222
Russisk språk I,RUS120,https://www.uib.no/emne/RUS120
"Democratic Representation: Elections, Parliaments, Responsiveness",SAMPOL339,https://www.uib.no/emne/SAMPOL339
Fordjupning i latinamerikansk litteratur,SLAN641,https://www.uib.no/emne/SLAN641
Framsyningsanalyse og teaterkritikk,TEAT115,https://www.uib.no/emne/TEAT115
Grunnemne i tysk språk II,TYS113,https://www.uib.no/emne/TYS113
"Utveksling visuell kommunikasjon, 5 mnd haust",UTV VISK 5H,https://www.uib.no/emne/UTV%20VISK%205H
Summer School in Zoroastrian Studies,ZOR200,https://www.uib.no/emne/ZOR200
"Analyse, etikk og refleksivitet i kvalitativ forsking",WNGERII905,https://www.uib.no/emne/WNGERII905
Introduction to Meta Analysis,WNGERII904,https://www.uib.no/emne/WNGERII904
Mixed Method Research,WNGERII903,https://www.uib.no/emne/WNGERII903
Forskingsetikk,WNGERII902,https://www.uib.no/emne/WNGERII902
Writing the Synopsis in a Doctoral Thesis<br />,WNGERII901,https://www.uib.no/emne/WNGERII901
Litteraturreview på ph.d-nivå,WNGERII900,https://www.uib.no/emne/WNGERII900
Philosophy and Ethics of Social Sciences,VITSV900,https://www.uib.no/emne/VITSV900
"Sentrale spørsmål i forsking og samfunn: Kunstig intelligens: Visjonar, realitetar og framtidige konsekvensar",VIT216,https://www.uib.no/emne/VIT216
Sentrale spørsmål i forskning og samfunn: Menneske på flukt. Kva veit vi og kva bør vi gjere?,VIT215,https://www.uib.no/emne/VIT215
Sentrale spørsmål i forsking og samfunn: Noregs grunnlov: Kva er den? Korleis bør den være?,VIT214,https://www.uib.no/emne/VIT214
Sentrale spørsmål i forsking og samfunn: De mange kulturene ved universitetet,VIT213,https://www.uib.no/emne/VIT213
Sentrale spørsmål i forsking og samfunn: Klima: Hva vet vi? Hva bør vi gjøre?,VIT212,https://www.uib.no/emne/VIT212
"Sentrale spørsmål i forskning og samfunn: Global helse: Etikk, politikk og menneskerettigheter",VIT211,https://www.uib.no/emne/VIT211
Sentrale spørsmål i forsking og samfunn. Menneske: Natur og kultur,VIT210,https://www.uib.no/emne/VIT210
Felles praksisemne i aldersmedisin,VALGTVEPS-A,https://www.uib.no/emne/VALGTVEPS-A
Forskingsprosjekt i vitskapsteori/vitskapsstudium,VIT201,https://www.uib.no/emne/VIT201
Felles praksisemne i aldersmedisin,VALGTVEPS,https://www.uib.no/emne/VALGTVEPS
"Utveksling visuell kommunikasjon, 5 mnd",UTV VISKOM 5,https://www.uib.no/emne/UTV%20VISKOM%205
"Utveksling visuell kommunikasjon, 4 mnd",UTV VISKOM 4,https://www.uib.no/emne/UTV%20VISKOM%204
"Utveksling visuell kommunikasjon, 3 mnd",UTV VISKOM 3,https://www.uib.no/emne/UTV%20VISKOM%203
"Utveksling visuell kommunikasjon, 4 mnd haust",UTV VISK 4H,https://www.uib.no/emne/UTV%20VISK%204H
"Utveksling visuell kommunikasjon, 3 mnd haust",UTV VISK 3H,https://www.uib.no/emne/UTV%20VISK%203H
"Utveksling møbel/rom, 5 mnd haust",UTV ROM 5H,https://www.uib.no/emne/UTV%20ROM%205H
"Utveksling møbel/rom, 4 mnd haust",UTV ROM 4H,https://www.uib.no/emne/UTV%20ROM%204H
"Utveksling møbel/rom, 5 mnd",UTV ROM 5,https://www.uib.no/emne/UTV%20ROM%205
"Utveksling møbel/rom, 4 mnd",UTV ROM 4,https://www.uib.no/emne/UTV%20ROM%204
"Utveksling møbel/rom, 3 mnd haust",UTV ROM 3H,https://www.uib.no/emne/UTV%20ROM%203H
"Utveksling møbel/rom, 3 mnd",UTV ROM 3,https://www.uib.no/emne/UTV%20ROM%203
"Utveksling kunst, 5 mnd haust",UTV KUNST 5H,https://www.uib.no/emne/UTV%20KUNST%205H
"Utveksling kunst, 5 mnd",UTV KUNST 5,https://www.uib.no/emne/UTV%20KUNST%205
"Utveksling kunst, 4 mnd haust",UTV KUNST 4H,https://www.uib.no/emne/UTV%20KUNST%204H
"Utveksling kunst, 4 mnd",UTV KUNST 4,https://www.uib.no/emne/UTV%20KUNST%204
"Utveksling kunst, 3 mnd haust",UTV KUNST 3H,https://www.uib.no/emne/UTV%20KUNST%203H
"Utveksling kunst, 3 mnd",UTV KUNST 3,https://www.uib.no/emne/UTV%20KUNST%203
How to Create Effective Instructional Videos,UPED637,https://www.uib.no/emne/UPED637
How to Design and Teach Blended Courses,UPED636,https://www.uib.no/emne/UPED636
Pedagogisk kurs for studieadministrative tilsette,UPED635,https://www.uib.no/emne/UPED635
Universitetspedagogikk for ph.d.-kandidatar: Basiskompetanse i undervisning av studentar på bachelor- og masternivå,UPED634B,https://www.uib.no/emne/UPED634B
Universitetspedagogikk for ph.d.-kandidatar: Basiskompetanse i undervisning av studentar på bachelor- og masternivå,UPED634A,https://www.uib.no/emne/UPED634A
Interaktiv undervisning med bruk av responssystemer,UPED633,https://www.uib.no/emne/UPED633
Enhansing Courses with Online Materials and Tools,UPED632,https://www.uib.no/emne/UPED632
Hot moments in teaching and learning,UPED631,https://www.uib.no/emne/UPED631
Munnleg formidling,UPED623,https://www.uib.no/emne/UPED623
Forskingsrettleiing,UPED622,https://www.uib.no/emne/UPED622
Vurdering og vurderingsformer,UPED621,https://www.uib.no/emne/UPED621
Basismodul i universitetspedagogikk,UPED620,https://www.uib.no/emne/UPED620
Masteroppgåve i undersøkande journalistikk,UJO350,https://www.uib.no/emne/UJO350
Prosjektdesign,UJO304,https://www.uib.no/emne/UJO304
Samfunnsinstitusjonar og research,UJO301,https://www.uib.no/emne/UJO301
Fagdidaktikk i tysk for integrert lektorutdanning 3,TYSDI301,https://www.uib.no/emne/TYSDI301
Fagdidaktikk i tysk for lektorutdanninga 2,TYSDI201,https://www.uib.no/emne/TYSDI201
Fagdidaktikk i tysk i lektorutdanningen 3,TYSDI111,https://www.uib.no/emne/TYSDI111
Fagdidaktikk i tysk i lektorutdanninga 1,TYSDI101,https://www.uib.no/emne/TYSDI101
Tysk mastergradsoppgåve,TYS350,https://www.uib.no/emne/TYS350
Moderne tysk språk og litteratur,TYS311L,https://www.uib.no/emne/TYS311L
Moderne tysk språk og litteratur,TYS311,https://www.uib.no/emne/TYS311
Masteremne i tyskspråkleg litteratur,TYS309,https://www.uib.no/emne/TYS309
"Litteratur, interpretasjon og omsetjing for lærarstudentar",TYS308L,https://www.uib.no/emne/TYS308L
"Litteratur, interpretasjon og omsetjing",TYS308,https://www.uib.no/emne/TYS308
Tysk språk og litteraturvitenskap,TYS307L,https://www.uib.no/emne/TYS307L
Tysk språk og litteraturvitskap,TYS307,https://www.uib.no/emne/TYS307
Fordjuping i tyskspråkleg litteratur med semesteroppgåve,TYS256,https://www.uib.no/emne/TYS256
Fordjuping i tysk språk med semesteroppgåve for lektorutdanninga,TYS251L,https://www.uib.no/emne/TYS251L
Fordjuping i tysk språk med semesteroppgåve,TYS251,https://www.uib.no/emne/TYS251
Fordjuping i tyskspråkleg litteratur,TYS206,https://www.uib.no/emne/TYS206
Fordjuping i tysk språk,TYS201,https://www.uib.no/emne/TYS201
Tyskspråkleg litteratur,TYS116,https://www.uib.no/emne/TYS116
Grunnemne i tysk språk II,TYS115,https://www.uib.no/emne/TYS115
Tyskspråkleg litteratur,TYS114,https://www.uib.no/emne/TYS114
Tysk språk og tekstkunnskap,TYS107,https://www.uib.no/emne/TYS107
Tyskspråkleg kultur og historie,TYS106,https://www.uib.no/emne/TYS106
Grunnemne i tysk språk I,TYS105,https://www.uib.no/emne/TYS105
Introduksjon til tyskstudiet,TYS100,https://www.uib.no/emne/TYS100
Bacheloroppgåve i TV-produksjon,TVP250,https://www.uib.no/emne/TVP250
Utplassering/webserie,TVP201,https://www.uib.no/emne/TVP201
Konsept- og idéutvikling II,TVP104,https://www.uib.no/emne/TVP104
Konsept- og idéutvikling I,TVP103,https://www.uib.no/emne/TVP103
Det visuelle språket,TVP102,https://www.uib.no/emne/TVP102
Introduksjon til TV-produksjon,TVP101,https://www.uib.no/emne/TVP101
Tverrprofesjonell læring,TVEPS,https://www.uib.no/emne/TVEPS
Masteremne i tysk språkvitskap,TSAK319,https://www.uib.no/emne/TSAK319
Masteremne i tyskspråkleg litteratur (SAK),TSAK318,https://www.uib.no/emne/TSAK318
Anatomi: Tannanatomi og generell anatomi,TPBAANA,https://www.uib.no/emne/TPBAANA
Allmennodontologi,TPBAALM,https://www.uib.no/emne/TPBAALM
Samfunnsodontologi med praksisstudiet,TPBASAM,https://www.uib.no/emne/TPBASAM
Røntgenologi,TPBARØN,https://www.uib.no/emne/TPBAR%C3%98N
Prosjektoppgåve,TPBAPROSJ,https://www.uib.no/emne/TPBAPROSJ
Protetikk og gerodontologi + godkjent klinikk,TPBAPRO/GER,https://www.uib.no/emne/TPBAPRO/GER
Periodonti,TPBAPER,https://www.uib.no/emne/TPBAPER
Pedagogikk og psykologi,TPBAPED/PSY,https://www.uib.no/emne/TPBAPED/PSY
Pedodonti + godkjent klinikk,TPBAPED,https://www.uib.no/emne/TPBAPED
Patologi generell,TPBAPAT,https://www.uib.no/emne/TPBAPAT
Mikrobiologi og hygiene,TPBAMIKR,https://www.uib.no/emne/TPBAMIKR
Odontologiske biomaterialer,TPBAMAT,https://www.uib.no/emne/TPBAMAT
Kjeve- og slimhinnelidelser,TPBAKOS,https://www.uib.no/emne/TPBAKOS
Kjeveortopedi,TPBAKJE,https://www.uib.no/emne/TPBAKJE
Kjemi og biokjemi,TPBAKBK,https://www.uib.no/emne/TPBAKBK
Kariologi og endodonti,TPBAKAR/END,https://www.uib.no/emne/TPBAKAR/END
Kurs i infiltrasjonsanestesi,TPBAINFIL,https://www.uib.no/emne/TPBAINFIL
Fysiologi og ernæringslære,TPBAFYS,https://www.uib.no/emne/TPBAFYS
Ferdighetskurs,TPBAFOR-PROP,https://www.uib.no/emne/TPBAFOR-PROP
Førebyggjande tannhelsearbeid; vaksentannpleie kull 3,TPBAFOR-K3,https://www.uib.no/emne/TPBAFOR-K3
Førebyggjande tannhelsearbeid; vaksentannpleie kull 2,TPBAFOR-K2,https://www.uib.no/emne/TPBAFOR-K2
Førebyggjande tannhelsearbeid; vaksentannpleie kull 1,TPBAFOR-K1,https://www.uib.no/emne/TPBAFOR-K1
Klinisk innføringskurs del I og II,TPBAFORI/II,https://www.uib.no/emne/TPBAFORI/II
Odontofobi,TPBAFOB,https://www.uib.no/emne/TPBAFOB
Ferdighetskurs,TPBAFERD,https://www.uib.no/emne/TPBAFERD
Farmakologi,TPBAFAR,https://www.uib.no/emne/TPBAFAR
Masteroppgåve i teatervitskap,TEAT350,https://www.uib.no/emne/TEAT350
Teatervitskap: Seminarinnlegg innafor eit sjølvvalt område,TEAT311,https://www.uib.no/emne/TEAT311
Yrkesrelatert praksis,TEAT310,https://www.uib.no/emne/TEAT310
Teatervitskap: Teoretisk fordjuping i eit systematisk område,TEAT303,https://www.uib.no/emne/TEAT303
Teatervitskap: Prosjektskildring,TEAT302,https://www.uib.no/emne/TEAT302
"Teaterhistorie, historiografi og vitskapsteori",TEAT301,https://www.uib.no/emne/TEAT301
Praksisbasert bacheloroppgåve,TEAT253,https://www.uib.no/emne/TEAT253
Teoribasert bacheloroppgåve,TEAT252,https://www.uib.no/emne/TEAT252
Teaterestetikk og teaterteori,TEAT211,https://www.uib.no/emne/TEAT211
Dramaturgi i teori og praksis,TEAT113,https://www.uib.no/emne/TEAT113
Moderne teaterhistorie,TEAT112,https://www.uib.no/emne/TEAT112
Eldre teaterhistorie,TEAT111,https://www.uib.no/emne/TEAT111
Forskingsgruppeseminar og prosjektplan,SYKVIT306,https://www.uib.no/emne/SYKVIT306
Omsorgsteori og omsorgsforskning,SYKVIT305,https://www.uib.no/emne/SYKVIT305
Hygieneteori og hygieneforsking,SYKVIT304,https://www.uib.no/emne/SYKVIT304
Praxeologisk teori og praxeologisk forskning,SYKVIT303,https://www.uib.no/emne/SYKVIT303
Cultural theory and global perspectives,SYKVIT302,https://www.uib.no/emne/SYKVIT302
Livskvalitet- sjukepleie i eit medisinsk perspektiv,SYKVIT301,https://www.uib.no/emne/SYKVIT301
Masteroppgåve i sjukepleievitskap,SYKD395,https://www.uib.no/emne/SYKD395
Masteroppgåve i sjukepleievitskap,SYK395,https://www.uib.no/emne/SYK395
Romleg statistikk,STATROM,https://www.uib.no/emne/STATROM
Statistisk risikostyring,STATRISK,https://www.uib.no/emne/STATRISK
Overlevingsanalyse,STATOVLEV,https://www.uib.no/emne/STATOVLEV
Statistisk læring,STATLEARN,https://www.uib.no/emne/STATLEARN
Masteroppgåve i statistikk,STAT399K,https://www.uib.no/emne/STAT399K
Masteroppgåve i statistikk,STAT399,https://www.uib.no/emne/STAT399
Utvalde emne i statistikk,STAT330,https://www.uib.no/emne/STAT330
Multivariabel statistisk analyse,STAT310,https://www.uib.no/emne/STAT310
Prosjektarbeid i statistikk,STAT292,https://www.uib.no/emne/STAT292
Monte Carlo metodar i statistikk,STAT250,https://www.uib.no/emne/STAT250
Finansteori,STAT240,https://www.uib.no/emne/STAT240
Skadeforsikringsmatematikk og risikoteori,STAT231,https://www.uib.no/emne/STAT231
Livsforsikringsmatematikk,STAT230,https://www.uib.no/emne/STAT230
Grensesetningar i sannsynsrekning,STAT221,https://www.uib.no/emne/STAT221
Stokastiske prosessar,STAT220,https://www.uib.no/emne/STAT220
Tidsrekkjer,STAT211,https://www.uib.no/emne/STAT211
Statistisk inferensteori,STAT210,https://www.uib.no/emne/STAT210
Biostatistikk,STAT202,https://www.uib.no/emne/STAT202
Generaliserte lineære modellar,STAT201,https://www.uib.no/emne/STAT201
Anvendt statistikk,STAT200,https://www.uib.no/emne/STAT200
Statistiske metodar,STAT111,https://www.uib.no/emne/STAT111
Grunnkurs i statistikk,STAT110,https://www.uib.no/emne/STAT110
Elementær statistikk,STAT101,https://www.uib.no/emne/STAT101
Mastergradsoppåve i spansk og latinamerikastudium,SPLA350,https://www.uib.no/emne/SPLA350
Spesialisering i latinamerikastudium,SPLA315,https://www.uib.no/emne/SPLA315
Prosjektdesign og forskingsformidling for latinamerikastudium,SPLA314,https://www.uib.no/emne/SPLA314
Teori og metode i latinamerikansk historie,SPLA313,https://www.uib.no/emne/SPLA313
Teori og metode i latinamerikansk litteraturvitskap,SPLA312,https://www.uib.no/emne/SPLA312
Teori og metode i spansk lingvistikk,SPLA311,https://www.uib.no/emne/SPLA311
Fordjuping i latinamerikansk kulturkunnskap med bacheloroppgåve,SPLA259,https://www.uib.no/emne/SPLA259
Fordjuping i latinamerikansk litteratur med bacheloroppgåve,SPLA258,https://www.uib.no/emne/SPLA258
Fordjuping i spansk grammatikk med latinamerikanske variantar med bacheloroppgåve,SPLA257,https://www.uib.no/emne/SPLA257
Fordjuping i latinamerikansk kulturkunnskap,SPLA209,https://www.uib.no/emne/SPLA209
Fordjuping i latinamerikansk litteratur,SPLA208,https://www.uib.no/emne/SPLA208
Fordjuping i spansk grammatikk med latinamerikanske variantar,SPLA207,https://www.uib.no/emne/SPLA207
Kultur og samfunn i Latin-Amerika,SPLA119,https://www.uib.no/emne/SPLA119
Latinamerikansk litteratur II,SPLA118,https://www.uib.no/emne/SPLA118
Spansk grammatikk II,SPLA117,https://www.uib.no/emne/SPLA117
Latinamerikansk historie,SPLA109,https://www.uib.no/emne/SPLA109
Latinamerikansk litteratur I,SPLA108,https://www.uib.no/emne/SPLA108
Spansk grammatikk I,SPLA107,https://www.uib.no/emne/SPLA107
Spansk kulturkunnskap,SPLA106,https://www.uib.no/emne/SPLA106
Introduksjon til spansk og latinamerikastudium,SPLA100,https://www.uib.no/emne/SPLA100
Bacheloroppgåve i spesialpedagogikk,SPED250,https://www.uib.no/emne/SPED250
Lese- og skrivevanskar,SPED211,https://www.uib.no/emne/SPED211
Profesjonstenkning - lovverk og etikk i teori og praksis,SPED200,https://www.uib.no/emne/SPED200
"Observasjon, kartlegging og tiltak i spesialpedagogisk praksis",SPED102,https://www.uib.no/emne/SPED102
Språkutvikling,SPED101,https://www.uib.no/emne/SPED101
Innføring i spesialpedagogikk,SPED100,https://www.uib.no/emne/SPED100
"Spansk 2: Spansk språk, kultur og samfunn",SPANSK622,https://www.uib.no/emne/SPANSK622
"Spansk 1: Språklæring, spansk språk og kommunikasjon",SPANSK621,https://www.uib.no/emne/SPANSK621
Fagdidaktikk i spansk for lektorutdanninga 3,SPANDI111,https://www.uib.no/emne/SPANDI111
Fagdidaktikk i spansk i lektorutdanninga 1,SPANDI101,https://www.uib.no/emne/SPANDI101
Velferdsstaten og det fleirkulturelle Noreg,SOS660,https://www.uib.no/emne/SOS660
Masteroppgåva,SOS360,https://www.uib.no/emne/SOS360
Prosjektutvikling,SOS340,https://www.uib.no/emne/SOS340
"Arbeid, klasse og utdanning",SOS322,https://www.uib.no/emne/SOS322
"Migrasjon, integrasjon og mobilitet",SOS321,https://www.uib.no/emne/SOS321
"Velferd, ulikskap og livsløp",SOS320,https://www.uib.no/emne/SOS320
Metode - kvalitative tilnærmingar,SOS304,https://www.uib.no/emne/SOS304
Metode - statistisk analyse,SOS303,https://www.uib.no/emne/SOS303
Sosiologiske teoritradisjonar,SOS302,https://www.uib.no/emne/SOS302
Sosiologisk analyse,SOS301,https://www.uib.no/emne/SOS301
Bacheloroppgåve i sosiologi,SOS202-L,https://www.uib.no/emne/SOS202-L
Bacheloroppgåve i sosiologi,SOS202,https://www.uib.no/emne/SOS202
Sosiologisk teori og analyse,SOS201,https://www.uib.no/emne/SOS201
Horizontal Mobility in Sociological Perspective,SOS118,https://www.uib.no/emne/SOS118
Diverse Societies and International Migration,SOS117,https://www.uib.no/emne/SOS117
"Klasse, stratifikasjon og sosial mobilitet",SOS116,https://www.uib.no/emne/SOS116
Miljøsosiologi,SOS115,https://www.uib.no/emne/SOS115
Velferd og ulikhet,SOS113-L,https://www.uib.no/emne/SOS113-L
Velferd og ulikhet,SOS113,https://www.uib.no/emne/SOS113
Internasjonal migrasjon og etniske relasjoner,SOS112,https://www.uib.no/emne/SOS112
Familien i endring,SOS111,https://www.uib.no/emne/SOS111
Life courses in a Scandinavian welfare state,SOS109,https://www.uib.no/emne/SOS109
Utdanning og samfunn,SOS108,https://www.uib.no/emne/SOS108
Økonomisk sosiologi,SOS106,https://www.uib.no/emne/SOS106
Arbeid under kapitalismen,SOS105-L,https://www.uib.no/emne/SOS105-L
Arbeid under kapitalismen,SOS105,https://www.uib.no/emne/SOS105
Samfunnsstrukturer i endring,SOS103-L,https://www.uib.no/emne/SOS103-L
Samfunnsstrukturer i endring,SOS103,https://www.uib.no/emne/SOS103
Klassisk og moderne sosiologisk teori,SOS101,https://www.uib.no/emne/SOS101
Examen facultatum - invitasjon til sosiologi,SOS100B,https://www.uib.no/emne/SOS100B
Examen facultatum - invitasjon til sosiologi med fordjupingstema,SOS100A,https://www.uib.no/emne/SOS100A
Fordjupning i latinamerikansk kulturkunnskap,SLAN642,https://www.uib.no/emne/SLAN642
Fordjupning i spansk språk,SLAN640,https://www.uib.no/emne/SLAN640
Latinamerikansk litteratur (fjernundervising),SLAN614,https://www.uib.no/emne/SLAN614
Kultur og samfunn i Latin-Amerika (fjernundervisning),SLAN613,https://www.uib.no/emne/SLAN613
Latinamerikansk historie (fjernundervising),SLAN612,https://www.uib.no/emne/SLAN612
Spansk språk og omsetjing (fjernundervisning),SLAN611,https://www.uib.no/emne/SLAN611
Spansk innføringskurs,SLAN600,https://www.uib.no/emne/SLAN600
Samanliknande europeiske kulturstudium,SEK100,https://www.uib.no/emne/SEK100
Global health - challenges and responses,SDG303,https://www.uib.no/emne/SDG303
FNs Bærekraftsmål 15: Liv på land,SDG215,https://www.uib.no/emne/SDG215
FNs Bærekraftsmål 14: Liv under vatn,SDG214,https://www.uib.no/emne/SDG214
Klimaendringar - årsaker og konsekvensar,SDG213,https://www.uib.no/emne/SDG213
Perspektiv på berekraftig utvikling,SDG110,https://www.uib.no/emne/SDG110
Scandinavian Literature - 20th and 21st Century Scandinavian Area Studies,SAS2B,https://www.uib.no/emne/SAS2B
Scandinavian Literature - 19th Century  - Scandinavian Area Studies,SAS2A,https://www.uib.no/emne/SAS2A
"Norwegian Art, Theatre and Cultural Studies - Scandinavian Area Studies",SAS14,https://www.uib.no/emne/SAS14
Norwegian Culture and History - Scandinavian Area Studies,SAS13,https://www.uib.no/emne/SAS13
"Language, Culture and the Construction of National Identity in Scandinavia - Scandinavian Area Studies",SAS1,https://www.uib.no/emne/SAS1
Språkstudentar i arbeidspraksis,SAP100,https://www.uib.no/emne/SAP100
Fleirkulturell forståing og kommunikasjon,SANT660,https://www.uib.no/emne/SANT660
Masteroppgåve,SANT350,https://www.uib.no/emne/SANT350
Praktisk metodekurs: Antropologisk feltarbeid,SANT320,https://www.uib.no/emne/SANT320
Individuell prosjektutvikling,SANT302,https://www.uib.no/emne/SANT302
Antropologisk kunnskapsproduksjon og etnografisk praksis,SANT301,https://www.uib.no/emne/SANT301
Anthropological Research Agendas: Capitalism/Anti-capitalism/Post-capitalism,SANT290,https://www.uib.no/emne/SANT290
Current Anthropological Research,SANT285-5,https://www.uib.no/emne/SANT285-5
Current Anthropological Research: The Anthropology of Food,SANT285-4,https://www.uib.no/emne/SANT285-4
The Frontier of Anthropological Research: The Anthropology of Post-Socialist Societies and Beyond,SANT280-14,https://www.uib.no/emne/SANT280-14
Sommerskule i antropologiske forskingsmetodar,SANT270,https://www.uib.no/emne/SANT270
Bacheloroppgåve,SANT260,https://www.uib.no/emne/SANT260
"Poverty, Welfare and Marginalisation: An Ethnographic Approach to Modern Urban Life",SANT240,https://www.uib.no/emne/SANT240
Komparativ regional etnografi,SANT215,https://www.uib.no/emne/SANT215
"Akademisk skriving, teori og metode: antropologiske tilnærmingar",SANT150,https://www.uib.no/emne/SANT150
Makt: uttrykk og tilsløring,SANT105,https://www.uib.no/emne/SANT105
"Culture, Meaning and Communication",SANT104,https://www.uib.no/emne/SANT104
"Materialitet: miljø, stad og økonomi",SANT103,https://www.uib.no/emne/SANT103
Sosialt liv i globalt perspektiv,SANT102,https://www.uib.no/emne/SANT102
Examen facultatum - Invitasjon til sosialantropologi,SANT100,https://www.uib.no/emne/SANT100
Effects of Lawfare: Courts and law as battlegrounds for social change,SAMPOL902,https://www.uib.no/emne/SAMPOL902
Masteroppgave i demokratibygging,SAMPOL650,https://www.uib.no/emne/SAMPOL650
Business and Human Rights,SAMPOL610,https://www.uib.no/emne/SAMPOL610
Korrupsjonsgransking,SAMPOL609,https://www.uib.no/emne/SAMPOL609
Organisering for samfunnssikkerheit og krisehandtering. Terrorisme og kamp mot terrorisme,SAMPOL608,https://www.uib.no/emne/SAMPOL608
Feltmetodikk: Politisk kartlegging i felt,SAMPOL607,https://www.uib.no/emne/SAMPOL607
Demokratiassistanse og demokratisering,SAMPOL606,https://www.uib.no/emne/SAMPOL606
Observasjon av val og menneskerettsbrot,SAMPOL601,https://www.uib.no/emne/SAMPOL601
Masteroppgåve,SAMPOL350,https://www.uib.no/emne/SAMPOL350
Political Financing in a Global Perspective,SAMPOL347,https://www.uib.no/emne/SAMPOL347
Distributive Justice,SAMPOL346,https://www.uib.no/emne/SAMPOL346
Breaking BAD: Understanding Backlash Against Democracy,SAMPOL338,https://www.uib.no/emne/SAMPOL338
The Publics of Europe and the European Public Sphere,SAMPOL334,https://www.uib.no/emne/SAMPOL334
Vidaregåande regresjonsanalyse,SAMPOL332,https://www.uib.no/emne/SAMPOL332
Lawfare: Law as Political Strategy,SAMPOL328,https://www.uib.no/emne/SAMPOL328
"Politisk engasjement: Praktisk, empirisk forsking",SAMPOL324,https://www.uib.no/emne/SAMPOL324
Nye styringsformer i nordområda. Kva blir rolla til urfolka?,SAMPOL323,https://www.uib.no/emne/SAMPOL323
Forskingsdesign og kvalitative metodar,SAMPOL307-2,https://www.uib.no/emne/SAMPOL307-2
Forskingsdesign og kvalitative metodar,SAMPOL307,https://www.uib.no/emne/SAMPOL307
Masterseminar i samanliknande politikk,SAMPOL306,https://www.uib.no/emne/SAMPOL306
Multivariat dataanalyse,SAMPOL305,https://www.uib.no/emne/SAMPOL305
Praksis i samanliknande politikk - utanbys,SAMPOL291,https://www.uib.no/emne/SAMPOL291
Praksis i samanliknande politikk,SAMPOL290,https://www.uib.no/emne/SAMPOL290
American Government and Politics,SAMPOL270,https://www.uib.no/emne/SAMPOL270
Bacheloroppgåve i samanliknande politikk,SAMPOL260,https://www.uib.no/emne/SAMPOL260
Populism and its Consequences for Liberal Democracy,SAMPOL226,https://www.uib.no/emne/SAMPOL226
Rettsstaten - domstoler og dommere,SAMPOL225,https://www.uib.no/emne/SAMPOL225
"Corruption, Informality and Democracy in the EU Eastern Neighbourhood",SAMPOL224,https://www.uib.no/emne/SAMPOL224
Democratic Transformations in Europe: Trends and Implications,SAMPOL223,https://www.uib.no/emne/SAMPOL223
